iid,titulo,autor,criado_em,mergeado_em,dias_ate_merge,commits,arquivos_alterados,linhas_adicionadas,linhas_removidas,mudancas_totais
54,48 Testes WEB Estabelecimento Agropecuário,Developer_01,2025-12-08T15:01:37.206Z,2025-12-12T14:33:25.810Z,3,20,16,491,133,624
53,51 Testes WEB Profissional Animal,Developer_01,2025-12-08T14:36:29.929Z,2025-12-10T11:59:46.251Z,1,10,9,310,4,314
52,54 Testes API Certificadora Sisbov,Developer_01,2025-12-08T12:33:40.753Z,2025-12-09T10:46:54.760Z,0,7,6,340,0,340
51,52 Testes API Profissional Animal,Developer_01,2025-12-03T18:04:08.901Z,2025-12-05T18:26:15.365Z,2,7,4,253,0,253
50,50 Testes API Papeis,Developer_01,2025-12-03T14:48:33.846Z,2025-12-05T14:10:08.192Z,1,9,5,177,1,178
49,53 Adequações à refatoração de pessoa,Developer_01,2025-12-01T18:58:28.340Z,2025-12-05T13:11:51.331Z,3,12,82,598,3469,4067
48,49 Testes Web Papeis,Developer_01,2025-11-25T20:55:02.988Z,2025-11-26T21:42:32.445Z,1,6,6,306,0,306
47,43 Testes Web Unidade Medida,Developer_01,2025-11-24T14:53:06.590Z,2025-11-27T11:34:54.854Z,2,12,7,241,16,257
46,42 Testes API Unidade Medida,Developer_01,2025-11-24T13:42:17.472Z,2025-11-26T15:04:48.633Z,2,8,5,252,1,253
45,47 Testes API Estabelecimento Agropecuario v2,Developer_01,2025-11-24T13:20:29.354Z,2025-11-26T14:52:33.565Z,2,6,4,260,0,260
44,46 Padronização da formatação de arquivos JSON e SQL,Developer_01,2025-11-18T13:09:55.635Z,2025-11-26T14:11:32.685Z,8,11,154,1495,1495,2990
43,45 Refatoracão Endereço Urbano API,Developer_01,2025-11-14T18:07:38.211Z,2025-11-17T13:11:37.909Z,2,5,19,185,113,298
42,44 Manutenções Gerais,Developer_01,2025-11-14T13:02:28.694Z,2025-11-14T18:04:44.985Z,0,15,42,263,222,485
41,38 Testes Web Pessoa Física,Developer_01,2025-11-12T18:13:05.137Z,2025-11-17T12:05:02.080Z,4,16,10,409,73,482
40,39 Testes Web Pessoa Juridica,Developer_01,2025-11-10T20:46:17.883Z,2025-11-11T19:44:56.551Z,0,12,7,368,72,440
39,41 Testes Web Usuário,Developer_01,2025-11-06T20:41:29.659Z,2025-11-07T15:13:44.502Z,0,2,5,177,3,180
38,37 Testes API Pessoa Jurídica,Developer_01,2025-11-05T20:12:03.193Z,2025-11-06T16:59:18.075Z,0,8,6,323,4,327
37,36 Testes API pessoa fisica,Developer_01,2025-11-05T14:06:08.612Z,2025-11-05T19:37:53.298Z,0,13,5,365,0,365
36,40 Testes API usuario,Developer_01,2025-11-05T12:22:47.706Z,2025-11-05T19:44:12.404Z,0,3,5,124,3,127
35,35 testes web unidade administrativa,Developer_01,2025-10-28T19:50:57.021Z,2025-11-03T20:49:04.972Z,6,6,4,261,1,262
34,33 Ajustes na estrutura Ima Web Test Case,Developer_01,2025-10-22T12:01:27.480Z,2025-10-31T13:30:32.001Z,9,18,26,497,492,989
33,34 Melhorias relatorio html,Developer_01,2025-10-20T18:17:39.873Z,2025-10-24T13:55:04.993Z,3,6,17,291,251,542
32,30 Manutenções,Developer_01,2025-10-14T14:54:22.248Z,2025-10-23T19:57:25.017Z,9,18,23,147,69,216
31,32 Testes API Unidade Administrativa,Developer_01,2025-10-08T12:23:55.870Z,2025-10-14T14:19:31.837Z,6,9,5,307,0,307
30,31 Readme do projeto,Developer_01,2025-10-02T12:30:04.326Z,2025-10-08T12:12:42.926Z,5,6,1,111,4,115
